Provider,uniqBeneCount,ClmsperBene,TotalInscClaimAmtReimbursed,MeanInscClaimAmtReimbursed,MaxInscClaimAmtReimbursed,uniqATPhysnCount,ClmsperATPhysn,uniqOPPhysnCount,ClmsperOPPhysn,uniqOTPhysnCount,ClmsperOTPhysn,InClmsPct
PRV51001,24,1.0416666666666667,104640,4185.6,42000,14,1.7857142857142858,5,5.0,8,3.125,0.2
PRV51003,117,1.1282051282051282,605670,4588.409090909091,57000,44,3.0,7,18.857142857142858,22,6.0,0.4696969696969697
PRV51004,138,1.0797101449275361,52170,350.13422818791946,3300,38,3.9210526315789473,19,7.842105263157895,26,5.730769230769231,0.0
PRV51005,495,2.3535353535353534,280910,241.1244635193133,4080,6,194.16666666666666,6,194.16666666666666,4,291.25,0.0
PRV51007,58,1.2413793103448276,33710,468.19444444444446,10000,10,7.2,5,14.4,7,10.285714285714286,0.041666666666666664
PRV51008,36,1.1944444444444444,35630,828.6046511627907,21000,10,4.3,5,8.6,5,8.6,0.046511627906976744
PRV51011,53,1.0943396226415094,16630,286.7241379310345,5000,28,2.0714285714285716,10,5.8,15,3.8666666666666667,0.017241379310344827
PRV51012,31,1.5483870967741935,16890,351.875,3300,14,3.4285714285714284,3,16.0,13,3.6923076923076925,0.0
PRV51013,44,1.0454545454545454,14880,323.4782608695652,1800,9,5.111111111111111,5,9.2,4,11.5,0.0
PRV51014,25,1.2,10480,349.3333333333333,3300,7,4.285714285714286,6,5.0,8,3.75,0.0
PRV51015,7,1.1428571428571428,700,87.5,200,3,2.6666666666666665,1,8.0,4,2.0,0.0
PRV51016,6,1.0,170,28.333333333333332,90,3,2.0,1,6.0,0,-99.0,0.0
PRV51017,420,1.2261904761904763,142720,277.126213592233,3300,113,4.557522123893805,46,11.195652173913043,69,7.463768115942029,0.0
PRV51021,208,1.2355769230769231,348830,1357.3151750972763,57000,69,3.7246376811594204,30,8.566666666666666,41,6.2682926829268295,0.11284046692607004
PRV51023,35,1.0285714285714285,65610,1822.5,13000,14,2.5714285714285716,8,4.5,6,6.0,0.25
PRV51024,38,1.0263157894736843,64050,1642.3076923076924,13000,13,3.0,5,7.8,8,4.875,0.23076923076923078
PRV51025,76,1.144736842105263,118350,1360.344827586207,17000,35,2.4857142857142858,15,5.8,20,4.35,0.14942528735632185
PRV51026,56,1.3571428571428572,19840,261.05263157894734,3300,29,2.6206896551724137,10,7.6,18,4.222222222222222,0.0
PRV51027,44,1.2045454545454546,29840,563.0188679245283,3300,10,5.3,6,8.833333333333334,5,10.6,0.0
PRV51029,79,1.1772151898734178,30660,329.6774193548387,3300,38,2.4473684210526314,10,9.3,17,5.470588235294118,0.0
PRV51030,145,1.1793103448275861,739760,4326.081871345029,57000,46,3.717391304347826,12,14.25,23,7.434782608695652,0.47953216374269003
PRV51031,157,1.178343949044586,359720,1944.4324324324325,68000,60,3.0833333333333335,16,11.5625,28,6.607142857142857,0.15135135135135136
PRV51032,21,1.0952380952380953,5420,235.65217391304347,2900,10,2.3,4,5.75,8,2.875,0.0
PRV51035,25,1.2,32560,1085.3333333333333,29000,18,1.6666666666666667,7,4.285714285714286,8,3.75,0.03333333333333333
PRV51036,131,2.122137404580153,74880,269.3525179856115,4400,5,55.6,3,92.66666666666667,4,69.5,0.0
