Provider,DeductibleAmtPaid_mean,DeductibleAmtPaid_max,NoOfMonths_PartACov_mean,NoOfMonths_PartBCov_mean,OPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_max,OPAnnualReimbursementAmt_sum,OPAnnualDeductibleAmt_mean,OPAnnualDeductibleAmt_max,OPAnnualDeductibleAmt_sum,ClaimCounts,Gender,ClaimPeriod,RaceOneFrac,MajorRace,RenalDiseaseIndicator,Age,uniqBeneCount,ClmsperBene,TotalInscClaimAmtReimbursed,MeanInscClaimAmtReimbursed,MaxInscClaimAmtReimbursed,uniqATPhysnCount,ClmsperATPhysn,uniqOPPhysnCount,ClmsperOPPhysn,uniqOTPhysnCount,ClmsperOTPhysn,InClmsPct,StateCount_Uniq,MajorState,CountyCount_Uniq,MajorCounty,TotalIPAnnualReimbursementAmt,MeanIPAnnualReimbursementAmt,MaxIPAnnualReimbursementAmt,TotalIPAnnualDeductibleAmtdf,MeanIPAnnualDeductibleAmt,MaxIPAnnualDeductibleAmt,MaxHospitalDays,MedianHospitalDays,MeanHospitalDays,Chronic_Alzheimer_Frac,Chronic_Heartfailure_Frac,Chronic_KidneyDisease_Frac,Chronic_Cancer_Frac,Chronic_ObstrPulmonary_Frac,Chronic_Depression_Frac,Chronic_Diabetes_Frac,Chronic_IschemicHeart_Frac,Chronic_Osteoporasis_Frac,Chronic_rheumatoidarthritis_Frac,Chronic_stroke_Frac,Deceased_Frac,PotentialFraud
PRV57552,0.0,0.0,12.0,10.909090909090908,1303.6363636363635,4090,14340,453.6363636363636,1110,4990,11,0.545,2.818,0.818,1,0.273,82.0,11,1.0,2340,212.72727272727272,1100,4,2.75,1,11.0,1,11.0,0.0,1,52,2,660,80020,7274.545454545455,35000,6408,582.5454545454545,3204,0.0,0.0,0.0,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.1818181818181818,0.3636363636363636,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0
PRV52848,4.4,70.0,12.0,11.76,1275.6,5210,31890,472.8,1970,11820,25,0.44,2.4,0.96,1,0.24,78.0,25,1.0,5280,211.2,1200,21,1.1904761904761905,2,12.5,8,3.125,0.0,5,54,9,999,121350,4854.0,30160,11748,469.92,2136,0.0,0.0,0.0,0.48,0.56,0.2,0.2,0.36,0.4,0.6,0.84,0.32,0.16,0.04,0.0,0
PRV51297,77.28571428571429,1068.0,12.0,12.0,3440.0,22820,240800,869.7142857142857,5220,60880,70,0.343,2.114,0.943,1,0.186,73.0,46,1.5217391304347827,77090,1101.2857142857142,18000,11,6.363636363636363,3,23.33333333333333,8,8.75,0.0714285714285714,1,4,6,710,340190,4859.857142857143,36800,48924,698.9142857142857,4068,5.0,0.0,0.2571428571428571,0.3428571428571428,0.7285714285714285,0.5571428571428572,0.1428571428571428,0.3,0.4714285714285714,0.6428571428571429,0.8714285714285714,0.3857142857142857,0.1714285714285714,0.1,0.0142857142857142,0
PRV55880,2.6666666666666665,40.0,12.0,12.0,2586.6666666666665,19660,38800,712.6666666666666,3980,10690,15,0.8,4.333,0.8,1,0.333,72.0,13,1.1538461538461535,7180,478.6666666666667,2800,3,5.0,3,5.0,2,7.5,0.0,1,38,1,230,116530,7768.666666666667,71100,15476,1031.7333333333331,12272,0.0,0.0,0.0,0.5333333333333333,0.6,0.5333333333333333,0.2,0.2,0.4666666666666667,0.8,0.7333333333333333,0.4666666666666667,0.4,0.0666666666666666,0.0,0
PRV55887,1068.0,1068.0,12.0,12.0,4031.6666666666665,19660,24190,935.0,3980,5610,6,0.333,15.0,0.667,1,0.333,69.5,6,1.0,66000,11000.0,29000,1,6.0,1,6.0,0,-99.0,1.0,2,50,6,330,141160,23526.666666666668,71100,19748,3291.333333333333,12272,36.0,13.0,15.0,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.0,0
PRV57127,388.3636363636364,1068.0,12.0,12.0,2398.181818181818,10710,52760,631.3636363636364,2120,13890,22,0.455,3.409,0.955,1,0.227,74.5,22,1.0,81530,3705.909090909091,21000,20,1.1,7,3.142857142857143,9,2.4444444444444446,0.3636363636363636,5,46,13,460,252730,11487.727272727272,63800,23428,1064.909090909091,5340,11.0,0.0,1.8636363636363635,0.4545454545454545,0.5454545454545454,0.5909090909090909,0.3636363636363636,0.4090909090909091,0.5,0.8181818181818182,0.6818181818181818,0.3181818181818182,0.3181818181818182,0.0909090909090909,0.0,0
PRV56836,0.0,0.0,12.0,12.0,1706.6666666666667,3650,5120,230.0,500,690,3,0.333,2.333,1.0,1,0.0,77.0,3,1.0,740,246.66666666666663,600,2,1.5,0,-99.0,1,3.0,0.0,1,45,2,790,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0
PRV57072,1068.0,1068.0,12.0,12.0,2692.5,8330,10770,592.5,2030,2370,4,0.5,6.5,1.0,1,0.5,76.5,4,1.0,30000,7500.0,13000,2,2.0,1,4.0,0,-99.0,1.0,1,45,3,564,64020,16005.0,41000,6408,1602.0,3204,10.0,6.5,6.5,0.5,1.0,0.75,0.0,0.5,1.0,1.0,0.75,0.5,0.5,0.5,0.0,0
PRV53009,144.32432432432432,1068.0,12.0,12.0,1121.3513513513512,4550,41490,457.2972972972973,1260,16920,37,0.568,2.108,0.973,1,0.108,76.0,23,1.608695652173913,35620,962.7027027027028,15000,10,3.7,7,5.285714285714286,9,4.111111111111111,0.1351351351351351,2,24,7,960,121820,3292.4324324324325,15000,16020,432.97297297297297,2136,10.0,0.0,0.7837837837837838,0.4054054054054054,0.5135135135135135,0.3513513513513513,0.081081081081081,0.5405405405405406,0.7297297297297297,0.6486486486486487,0.4594594594594595,0.2432432432432432,0.1621621621621621,0.027027027027027,0.0,0
PRV56667,2.8125,90.0,12.0,12.0,1666.5625,5670,53330,450.3125,1380,14410,32,0.562,1.438,0.938,1,0.125,72.0,28,1.1428571428571428,6300,196.875,2700,12,2.6666666666666665,4,8.0,6,5.333333333333333,0.0,1,45,6,910,106740,3335.625,12090,16020,500.625,2136,0.0,0.0,0.0,0.375,0.59375,0.3125,0.1875,0.25,0.40625,0.65625,0.8125,0.25,0.28125,0.125,0.0,0
PRV54237,3.931623931623931,200.0,11.948717948717947,11.282051282051285,2243.247863247864,26410,524920,577.1367521367522,6450,135050,234,0.321,1.91,0.701,1,0.291,74.5,119,1.9663865546218489,52560,224.6153846153846,3300,15,15.6,8,29.25,10,23.4,0.0,2,25,15,730,1182580,5053.760683760684,60500,119548,510.8888888888889,5340,0.0,0.0,0.0,0.3974358974358974,0.5769230769230769,0.4401709401709401,0.1239316239316239,0.3418803418803419,0.5470085470085471,0.7435897435897436,0.8076923076923077,0.2564102564102564,0.3119658119658119,0.1282051282051282,0.0,0
PRV53445,0.0,0.0,12.0,12.0,4804.285714285715,20470,33630,975.7142857142856,3140,6830,7,0.857,3.857,0.714,1,0.429,68.0,7,1.0,4940,705.7142857142857,2600,3,2.333333333333333,2,3.5,0,-99.0,0.0,1,19,3,360,53400,7628.571428571428,27400,4272,610.2857142857143,1068,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.0,0.2857142857142857,0.2857142857142857,0.0,0
